Code,Market Code,Name,Date,Type,Qty,Price,Instrument Currency,Brokerage,Brokerage Currency,Exch. Rate,Value in NZD
META,NASDAQ,Meta Platforms Inc - Ordinary Shares - Class A,2024-03-15,Buy,1.0000,488.25,USD,3.00,USD,0.61,805.22
META,NASDAQ,Meta Platforms Inc - Ordinary Shares - Class A,2024-03-15,Buy,0.2420,490.57,USD,0.00,USD,0.61,194.59
META,NASDAQ,Meta Platforms Inc - Ordinary Shares - Class A,2024-04-30,Buy,2.0342,431.61,USD,1.00,USD,0.59,"1,493.04"
META,NASDAQ,Meta Platforms Inc - Ordinary Shares - Class A,2024-06-26,Reinvestment,0.0026,517.65,USD,0.00,USD,0.61,2.21
AMZN,NASDAQ,Amazon.com Inc.,2024-07-30,Buy,2.2821,181.41,USD,3.00,USD,0.59,706.40
AMZN,NASDAQ,Amazon.com Inc.,2024-08-02,Buy,3.5481,166.28,USD,3.00,USD,0.60,995.52
NFLX,NASDAQ,Netflix Inc.,2024-08-29,Buy,0.5507,689.99,USD,3.00,USD,0.63,611.96
NFLX,NASDAQ,Netflix Inc.,2024-09-13,Buy,0.6304,682.00,USD,3.00,USD,0.62,703.13
META,NASDAQ,Meta Platforms Inc - Ordinary Shares - Class A,2024-09-26,Reinvestment,0.0024,569.15,USD,0.00,USD,0.63,2.15
GOOGL,NASDAQ,Alphabet Inc - Ordinary Shares - Class A,2024-12-09,Buy,11.0000,174.00,USD,1.00,USD,0.59,"3,265.27"
AMZN,NASDAQ,Amazon.com Inc.,2025-01-02,Buy,0.1698,219.68,USD,0.37,USD,0.56,67.34
META,NASDAQ,Meta Platforms Inc - Ordinary Shares - Class A,2025-01-02,Sell,-0.2812,594.11,USD,1.00,USD,0.56,-296.83
NFLX,NASDAQ,Netflix Inc.,2025-01-06,Buy,0.8189,888.48,USD,1.00,USD,0.56,"1,291.11"
ASML,NASDAQ,ASML Holding NV - New York Shares,2025-01-06,Buy,1.0000,745.49,USD,1.00,USD,0.56,"1,322.85"
AMZN,NASDAQ,Amazon.com Inc.,2025-02-03,Buy,2.0000,238.93,USD,1.00,USD,0.56,850.79
ASML,NASDAQ,ASML Holding NV - New York Shares,2025-02-03,Buy,1.0000,729.97,USD,1.00,USD,0.56,"1,298.71"
GOOGL,NASDAQ,Alphabet Inc - Ordinary Shares - Class A,2025-02-04,Buy,1.0000,190.60,USD,1.00,USD,0.57,339.02
GOOGL,NASDAQ,Alphabet Inc - Ordinary Shares - Class A,2025-02-21,Buy,1.0000,180.53,USD,1.00,USD,0.57,316.19
AMZN,NASDAQ,Amazon.com Inc.,2025-02-25,Buy,2.0000,210.88,USD,1.00,USD,0.57,738.35
ASML,NASDAQ,ASML Holding NV - New York Shares,2025-02-25,Buy,0.2397,730.00,USD,1.00,USD,0.57,307.35
AMZN,NASDAQ,Amazon.com Inc.,2025-03-12,Buy,1.0000,199.09,USD,1.00,USD,0.57,349.22
ASML,NASDAQ,ASML Holding NV - New York Shares,2025-03-12,Buy,0.7603,704.83,USD,1.00,USD,0.57,937.02
AMZN,NASDAQ,Amazon.com Inc.,2025-03-31,Buy,2.0000,189.91,USD,1.00,USD,0.57,670.62
GOOGL,NASDAQ,Alphabet Inc - Ordinary Shares - Class A,2025-03-31,Buy,2.0000,154.53,USD,1.00,USD,0.57,546.02
ASML,NASDAQ,ASML Holding NV - New York Shares,2025-03-31,Buy,1.0000,662.71,USD,1.00,USD,0.57,"1,168.79"
GOOGL,NASDAQ,Alphabet Inc - Ordinary Shares - Class A,2025-06-20,Buy,3.0000,172.74,USD,1.00,USD,0.60,870.37
AMZN,NASDAQ,Amazon.com Inc.,2025-07-07,Buy,3.0000,223.30,USD,1.00,USD,0.60,"1,119.20"
CP,NYSE,Canadian Pacific Kansas City Limited,2023-12-26,Buy,19.0000,79.51,USD,3.00,USD,0.63,"2,404.77"
UNH,NYSE,Unitedhealth Group Inc,2024-02-07,Buy,1.8741,516.51,USD,3.00,USD,0.61,"1,601.71"
UNH,NYSE,Unitedhealth Group Inc,2024-03-01,Buy,0.6142,489.02,USD,3.00,USD,0.61,498.19
UNH,NYSE,Unitedhealth Group Inc,2024-03-01,Buy,0.0013,486.29,USD,0.00,USD,0.61,1.04
UNH,NYSE,Unitedhealth Group Inc,2024-04-16,Buy,1.2589,468.65,USD,3.00,USD,0.59,"1,008.32"
CRM,NYSE,Salesforce Inc,2024-05-30,Buy,4.0000,223.05,USD,3.00,USD,0.61,"1,464.01"
MA,NYSE,Mastercard Incorporated - Ordinary Shares - Class A,2024-06-07,Buy,2.0775,451.01,USD,7.00,USD,0.61,"1,546.61"
UNH,NYSE,Unitedhealth Group Inc,2024-06-20,Buy,1.2987,484.31,USD,3.00,USD,0.61,"1,032.65"
UNH,NYSE,Unitedhealth Group Inc,2024-06-25,Reinvestment,0.0138,484.50,USD,0.00,USD,0.61,10.99
MA,NYSE,Mastercard Incorporated - Ordinary Shares - Class A,2024-06-28,Buy,0.9286,444.75,USD,3.00,USD,0.61,682.94
MSCI,NYSE,MSCI Inc,2024-07-08,Buy,1.2309,495.55,USD,3.00,USD,0.61,"1,000.68"
MA,NYSE,Mastercard Incorporated - Ordinary Shares - Class A,2024-07-11,Buy,0.8560,432.24,USD,3.00,USD,0.61,611.94
CRM,NYSE,Salesforce Inc,2024-07-25,Reinvestment,0.0052,258.17,USD,0.00,USD,0.59,2.28
CP,NYSE,Canadian Pacific Kansas City Limited,2024-07-29,Reinvestment,0.0285,78.73,USD,0.00,USD,0.61,3.68
CP,NYSE,Canadian Pacific Kansas City Limited,2024-07-30,Buy,0.0267,82.47,USD,0.00,USD,0.59,3.73
MA,NYSE,Mastercard Incorporated - Ordinary Shares - Class A,2024-08-09,Reinvestment,0.0036,457.77,USD,0.00,USD,0.60,2.74
MSCI,NYSE,MSCI Inc,2024-08-30,Reinvestment,0.0028,581.53,USD,0.00,USD,0.62,2.63
UNH,NYSE,Unitedhealth Group Inc,2024-09-24,Reinvestment,0.0156,577.87,USD,0.00,USD,0.63,14.39
CRM,NYSE,Salesforce Inc,2024-09-27,Buy,1.5922,276.34,USD,3.00,USD,0.63,698.69
CRM,NYSE,Salesforce Inc,2024-11-07,Buy,0.9919,307.47,USD,3.00,USD,0.60,511.12
UBER,NYSE,Uber Technologies Inc,2024-11-18,Buy,6.0000,72.47,USD,3.00,USD,0.59,742.89
UBER,NYSE,Uber Technologies Inc,2024-11-18,Buy,6.6016,67.86,USD,3.00,USD,0.59,765.25
UBER,NYSE,Uber Technologies Inc,2024-12-03,Buy,8.0058,73.07,USD,3.00,USD,0.59,999.77
UBER,NYSE,Uber Technologies Inc,2024-12-05,Buy,9.0000,65.36,USD,1.00,USD,0.59,"1,001.10"
UNH,NYSE,Unitedhealth Group Inc,2024-12-06,Sell,-5.0000,581.80,USD,1.08,USD,0.58,"-4,988.24"
UNH,NYSE,Unitedhealth Group Inc,2024-12-06,Sell,-0.0766,579.26,USD,0.44,USD,0.58,-75.35
SPGI,NYSE,S&P Global Inc,2024-12-09,Buy,2.0030,514.21,USD,1.00,USD,0.59,"1,757.90"
UBER,NYSE,Uber Technologies Inc,2024-12-20,Buy,4.0000,59.37,USD,1.00,USD,0.57,421.80
